Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	CANNON	CHRIS		O	UT03	2008	5/15/2008	8135646
HONORABLE	CASTLE	MICHAEL N.		O	DE00	2008	6/10/2008	8138009
HONORABLE	CLARKE	YVETTE D.		A	NY11	2008	7/16/2008	8138888
HONORABLE	CLAY	WM. LACY		O	MO01	2008	5/7/2008	8135661
HONORABLE	COOPER	JIM		O	TN05	2008	6/11/2008	8138204
HONORABLE	CRAMER	ROBERT E. (BUD)	JR.	O	AL05	2008	5/15/2008	8135671
HONORABLE	CROWLEY	JOSEPH		O	NY07	2008	5/14/2008	8135673
HONORABLE	CUELLAR	HENRY		O	TX28	2008	5/15/2008	8135675
HONORABLE	DAVIS	GEOFF		O	KY04	2008	5/15/2008	8135682
HONORABLE	DAVIS	LINCOLN		A	TN04	2008	7/25/2008	8138979
HONORABLE	DAVIS	TOM		A	VA11	2008	7/16/2008	8138889
HONORABLE	DEGETTE	DIANA		A	CO01	2008	6/30/2008	8138802
HONORABLE	DELAHUNT	WILLIAM D.		O	MA10	2008	5/15/2008	8135687
HONORABLE	DINGELL	JOHN D.		O	MI15	2008	5/13/2008	8135692
HONORABLE	DOGGETT	LLOYD		O	TX25	2008	5/15/2008	8135693
HONORABLE	DONNELLY	JOE		O	IN02	2008	5/15/2008	8135694
